State,Job Title,Link to Apply,Crime Rate (Out of 100000),Cost of Living Index (Compared to a mean of 100)
Iowa,Senior Software Engineer-Reporting Data & Insights,https://jooble.org/jdp/8132209551661711707,9601.0,89.7
Oregon,"Software Developer in Test - C#, ReadyAPI, Python",https://jooble.org/jdp/-6062138257074996688,12380.0,115.1
New Mexico,Software Configuration Analyst,https://jooble.org/jdp/-7126064323365694910,16393.0,94.2
Hawaii,Senior Software Test Engineer,https://jooble.org/jdp/-5539198977945334089,3576.0,179
Delaware,Software Engineer - Senior,https://jooble.org/jdp/-2875642861131345417,4262.0,102.6
Alabama,Software Engineer,https://jooble.org/jdp/7177171254452540891,22322.0,88.8
New Jersey,Software Engineer,https://jooble.org/jdp/4882184131117411836,17353.0,114.1
Georgia,Lead Software Engineer,https://jooble.org/jdp/5640234250544861764,42850.0,91
West Virginia,Software Developer LRS/GIS,https://jooble.org/jdp/-372971304194223065,6352.0,90.3
South Dakota,Senior Software Engineer-Reporting Data & Insights,https://jooble.org/jdp/1104849143620703566,4476.0,93.8
